,TEXT
559,and yet its whole career
560,when waves forget to roll.
561,"i see two boats with nets, lying off the shore of paumanok, quite still;"
562,"rais’d on the seas, the surges to control—"
563,"passing to lap thy waters, crushed the flower"
564,"ay, knelt and worshipped on, as love in beauty's bower,"
565,the tale is one of distant skies;
566,"the herded wolves, bold only to pursue;"
567,would we were bidden with the rest!
568,feel the pulses of the brave
569,"sparked a ruby through its heart,"
570,"from the overhanging branches,"
571,"i see them mix'd with george's sons,"
572,"i watch you in your crystal sphere,"
573,daih 's de ho'n a blowin'!
574,to teach in schools of little country towns
575,"listening, with half-suspended breath,"
576,beneath thy gracious feet!
577,"his hand the captive's fetters broke,"
578,did this wood come floating thick
579,and confessors betwixt.
580,"his boundless gulfs and built his shore, thy breath,"
581,"a hundred years, and fifty more, had spread their leaves and snows,"
582,and yet perhaps you had been startled less
583,"and say, ‘fie, pale-face! are you english girls"
584,"at length they turn to nothing else but down,"
585,"and, waking, find it vision,--none the less"
586,"here on the street as strangers do,"
587,it is but three times thou hast set thine eyes
588,"behind the heads of children) compliments,"
589,"pulled by mules dat run like rabbits, each one tryin' to git ahead."
590,"unclasped the rusty belt beneath,"
591,you heard the news from vincent carrington.
592,"got the ill name of augurs, because they were bores, —)"
593,"sire, son, and grandson; so the century glides;"
594,"but she guesses he is near,"
595,"and so,"
596,"and tender thoughts, and prayers, remains,"
597,"then thro’ his breast his fatal sword he sent,"
598,"""i mean estelle has always held the purse."""
599,"though books on manners are not out of print,"
600,"so, then, without a word that might offend"
601,"seed-field of simpler manners, braver truth,"
602,"the pain when it did live,"
603,"busy, with sacerdotal tailorings"
604,"upon whose boughs were wicker cages hung,"
605,"soft, discontented eyes!"
606,she still must keep the locket to allay
607,and the rude people rage with ignorant cries
608,skirting the stream.
609,"""o lord, that didst smother mankind in thy flood,"
610,"the silence, and the rain."
611,"is this a time to be cloudy and sad,"
612,"blood-dipped arrows, which savages make"
613,i think i'll just call up my wife and tell her
614,the moon and the stars were anxious
615,they shaped our future; we but carve their names.
616,"nor the president in his presidency, nor the rich in his great house."
617,"in our embraces we again enfold her,"
618,robe us once more in heaven-aspiring creeds
619,"in the twilight of age all things seem strange and phantasmal,"
620,back to its mansion call the fleeting breath?
621,the very gods arising mid their carven images:
622,"ah! still, methinks, i hear them calling;"
623,a wild and stormy sea;
624,"""sir, ye shall find him, if ye follow up"
625,tis the djinns' wild streaming swarm
626,how many times we must have met
627,"dark with more clouds than tempests are,"
628,then the smile from her bright eyes faded and a flush came over her cheek
629,lowly and soft she said it; but spake out louder now:
630,"the sower scatters broad his seed,"
631,"and thus each tint or shade which falls,"
632,the dust of half a century lies
633,above the myriad roofs and spires rise;
634,and they whispered to each other:
635,then he stripped the shirt of wampum
636,"at least if so we can, and by the head"
637,"here comes the cripple jane!""  and by a fountain's side"
638,to me that time did not appeire:
639,"so neighbour'd to him, and yet so unseen"
640,the wondering rabbi sought the temple's gate.
641,"are angel faces, silent and serene,"
642,ef zeke had be'n the bigges' man
643,and when i bade the dream
644,"and tip with feathers, orange and green,"
645,"or at the church, she ever bore herself"
646,"how nature to the soul is moored,"
647,"""rubadub! rubadub! wake and take the road again,"
648,i do not keer a jot;
649,"swifter was the hunter's rowing,"
650,let the scared dreamer wake to see
651,"(like essence-peddlers) thet'll make folks long to be without 'em,"
652,"as if we guessed what hers have been,"
653,which goaded him in his distress
654,"o so many, many, many"
655,"lord, remember me!"""
656,"far from the woods where, when the sun has set,"
657,abloom by sacred streams
658,"nathless, as hath been often tried,"
659,"i feel the road unroll,"
660,"and not be nearer therefore to the moon,"
661,"forelaid and taken, while he strove in vain"
662,"and country eyes, and quiet faces --"
663,"some come ridin' in top-buggies wid de w'eels all painted red,"
664,when blighting was nearest.
665,i can see how you might. but i don't know!
666,"the orchestra had cheered till they were hoarse,"
667,pillars by madness multiplied;
668,"""now the place where the accident occurred----"""
669,"a poet in his youth, and the cuckoo-bird"
670,"no rest that throbbing slave may ask,"
671,o'er time's delusive tide.
672,“i’m going to put you on the farm next to it.”
673,no word for a while spake regin; but he hung his head adown
674,"""he!  patron!"
675,"three lives, three strides, three foot-prints in the sand;"
676,"till they have told their fill, could scarce express"
677,the morning and the evening made his day.
678,"""stella, see that grasshopper"
679,"of blooming myrtle and faint lemon-flowers,"
680,"let us do our work as well,"
681,"we hear our mother call from deeps of time,"
682,of brynhilda's love and the wrath of gudrun.
683,who digs last year's potato hill?--
684,"those hours the ancient timepiece told,--"
685,"would split, for size of me."
686,in just the dress his century wore;
687,"his song, though very sweet, was low and faint,"
688,then to tell.
689,my winter sports begin.
690,"envy and calumny and hate and pain,"
691,"the play is done,--the curtain drops,"
692,and murmured a strange and solemn air;
693,"the cloud is gone that wove the sandstone,"
694,"i see little and large sea-dots, some inhabited, some uninhabited;"
695,time never did assuage;
696,that saw the cross without the bear.
697,the deer invites no longer
698,taught by the sorrows that his age had known
699,like slippers after shoes.--
700,and willing grow old
701,"to paris, and you make no sign at all."
702,"from the pulpit read the preacher, ""goodman garvin and his wife"
703,"even hearts estranged would turn once more to me,"
704,"the china dustless, the keen knife-blades bright,"
705,"was in cremona's workshops made,"
706,an honest tongue may drop a harmless hint.
707,"you shall not find the sons of atreus here,"
708,to intercept the sunshine and your face.
709,playmates' glad symphony.
710,"her lion-port, her awe-commanding face,"
711,my father’s sister started when she caught
712,how you sprang! how you threw off the costumes of peace with indifferent hand;
713,"these fly to the heavens--their course never ends,"
714,not in the close successive rattle
715,"a man in the wars delighting, blind-eyed through right and wrong:"
716,"--so they feast in the hall of atli, and that eve is the first of the seven."
717,"i turned, and saw behind me surge"
718,to turnus only second in the grace
719,"on winter afternoons,"
720,"their heads, distilling gore, his chariot grace."
721,"let sophists give the lie, hearts droop, and courtiers play the worm,"
722,"they say that 'time assuages,' --"
723,the story of a spavined steed;
724,"swifter far than happy night,"
725,"around my will to link it with her own,"
726,"in the worst of his poems are mines of rich matter,"
727,"upon sea-beaten cape,"
728,"by a great master of the past,"
729,"counts his nectars -- enters,"
730,all over the vale below.
731,while with thy childlike faith we lean
732,and to the tender heart and brave
733,"a wagon, overarched with evergreen,"
734,"upon her sister dear,"
735,"""before god, sir, i vow, when you are gone,"
736,"“acca, ’tis past! he swims before my sight,"
737,"east, west, north, south, are his domain."
738,"with the earls of the goths about her: so queenly did she seem,"
739,with spring’s delicious trouble in the ground
740,"they are fastened well, nom d'un chien!"
741,"the fraud of priests, the wrong of law,"
742,"""a quick consumption, that no art could cure!"
743,around thy place of slumber glowing!
744,"love works at the centre,"
745,obliterate the etchings
746,of nature's gold and mints it.
747,"shall dwindle, shall blend,"
748,and leaves the world to darkness and to me.
749,"a story of the days of old,"
750,"he bent and kissed her head, warm, shining, soft,"
751,"and she passed out between the blessed things,"
752,"""how to observe"" is what thy pages show,"
753,"that satraps would have shivered at his frown,"
754,"dey kin talk from hyeah to yandah,"
755,"by his sacrifice, foreknown"
756,"first, he mused what the animal substance or herb is"
757,"harsh, featureless, and rude, barrenly perish:"
758,three banks in three degrees the sailors bore;
759,"and that unrest which men miscall delight,"
760,and friendship's tenderest sympathy
761,her eye proclaims her of the briton line:
762,"in a dell mid lawny hills,"
763,"that thou should'st smile again?""--the evening came,"
764,"eliab this occasion seized,"
765,"and changing like a poet's rhymes,"
766,my breast was calm as summer's sea
767,oblivion's blankness claims
768,"when your rights was our wrongs, john,"
769,godminster chimes
770,nothin' to du but watch my shadder's trace
771,mere raft of stone;
772,"a spirit, neither here nor there,"
773,"tormented by the quickened blood of roots,"
774,"and then, to go to sleep;"
775,"with passionate longing burning,"
776,"where the cloudy hangings waver and the flickering shadows fall,"
777,were i once more the lover
778,"even while we gaze, though it awhile avail"
779,"well, i guess i looked at that hand"
780,"a man may see the moon so, in a pond,"
781,"ah, soul of mine! so brave and wise"
782,"the oriole in the elm; the noisy jay,"
783,"left the torn human heart, their food and dwelling-place."
784,"once upon a time, i lay"
785,still is my heart and vacant is my breath--
786,with sharp turns weaving
787,"flew to and fro,"
788,here on the cliff beneath the oleanders
789,his pass to the majestical far shore.
790,"and virtue's bright image, enstamped on the mind,"
791,"then he said ""amarant""; and the damsel drew"
792,inexorable death; and claims his right.
793,"trailing, wrecked, it came to land,"
794,...    and call to him.
795,how seen? how known? as through your glass
796,"(so thick they crowd), 'tis hardly seen."
797,"we were content to show,"
798,"young childhood, with a moisten'd eye,"
799,"dead among the shouting people,"
800,"on their tracks his eyes were fastened,"
801,"darling, the merciful father"
802,bird that from the nadir's floor
803,to touch such goodness with a grimy palm.
804,"the willows, and the hazel copses green,"
805,the likeness of the wood's remembered leaves.
806,"his days in peace; but his straight lips were bent,"
807,for vessels moulded by a mortal hand?
808,"from the slaughtering of my offspring, and the spoiling of my land;"
809,"what i have heard,"
810,but laon? on high freedom's desert land
811,"the soul with sweetness, and like an adept"
812,"on that shaded day,"
813,no answer came; but faint and forlorn
814,the lady eunice such a life she flew
815,and heavy as the dead.
816,i would not live alway--live alway below!
817,for suddenly the sweet bells overcame
818,yon creamy lily for their pavilion
819,a woman has been strangled with less weight:
820,"appeared to me,--may i again behold it!"
821,"howled through the dark, like sounds from hell."
822,make a fragrance of her fame.
823,"betrayed how mightily its heart was stirred,"
824,"overleaning, with flickering meaning and sign,"
825,"thy outward thus with outward praise is crowned,"
826,troubling with life the waters of the world.
827,no man could compete with kwasind.
828,that by nor sound nor word
829,when our mother nature laughs around;
830,"from kindling spark struck out from dead king's brow,"
831,"and the words which he utters, are--worship, or die!"
832,"precisely, at all events, what he ought not,"
833,rang the beautiful wild chimes
834,"first feels the gathering head of steam,"
835,"the weird pathetic scarlet of day dawning,"
836,and to thy brief captivity was brought
837,and listening to thy home's familiar chime
838,"sometimes towards heav'n and the full-blazing sun,"
839,"all right,' says t'other, 'only step round smart;"
840,"grander, nobler, than that pilot"
841,"dearest, why should i mourn, whimper, and whine, i that have yet to live?"
842,"in every health we drink, my boys,"
843,but your dead-ripe ones ranges high fer treatin' nothun bretherin;
844,"where holds the soul communion with its god,"
845,so runs the perfect cycle of the year.
846,"the limpid ocean mirrors all the stars,"
847,ashes and jet all hues outshine.
848,many changes have been run
849,as childhood's sweet delight.
850,"""it is a lie, a damned, infernal lie!"""
851,bred onely and completed to the taste
852,and after that the winter cold and drear.
853,"thus hee in scorn. the warlike angel mov'd,"
854,what flecks the outer gray beyond
855,"""does he mean himself, i wonder?"
856,"lull’d in her lap, amidst a train of loves,"
857,come up like ocean murmurs. but the scene
858,and in a pleasing slumber seals his eyes:
859,sweet poesy from heaven
860,"o, i can ne'er forget"
861,"the leprous corpse, touched by this spirit tender,"
862,"ambrosial odours and ambrosial flowers,"
863,his sweeter voice a just accordance kept.
864,"false-faces hung on strings,"
865,that in their lives such deadly fray they ne'er had seen before.
866,her not-nice load.
867,"unhitched the breeching from a shaft,"
868,tis that one told us it was life. 'for not
869,who fishes in the frog-pond still?
870,"""as the gods would i see,"" said sigurd, ""though death light up the land."""
871,"which leans over to the lane,"
872,"you hardly know when you are coming back,"
873,"but the great spirit plants it in our hearts,"
874,"nor is he, as some sages swear,"
875,"of his faint steed; the latter, as he stretch’d"
876,"i strive, i pray."
877,who god possesseth
878,"these often bathed she in her fluxive eyes,"
879,"that you or yours, having an appetite,"
880,"the loveliest king of the king-folk, the man of sweetest speech,"
881,"and fears are added, and avenging flame."
882,who felt your own thought worthy of record
883,"and then, if it should be"
884,"ez though i wanted to enlist 'em,"
885,"behind the sea-wall's rugged length,"
886,how they will tell the shipwreck
887,tis gone past recalling!
888,"and stiff in fight, but serious drill's despair,"
889,one lucent foot's delaying tip
890,at his approaching footsteps.  winter came
891,till the deaf fury comes your house to sweep!'
892,henceforth to labor's chivalry
893,i'll be ther in a minit.
894,"but now i see, most cruell hee,"
895,our lives and safeties all;
896,that little barley-cake you keep from him
897,our wavering apparitions pass
898,"and ye who attend her imperial car,"
899,"on the clear mirror of a loving heart,"
900,"how weak this tinkling line,"
901,for that’s his specialty. what creature else
902,her thoughts are like the lotus
903,"thou wovest dreams of joy and fear,"
904,"that, following this slight trace,"
905,but now for me than you—the other way.
906,who wrote this modest version i suppose
907,--the drones of the community; they feed
908,the echoing sounds grow fainter and then cease;
909,and make the liveliest monkey melancholy.
910,"and, between the river flowing and the fair green trees a-growing,"
911,"you'll not want business, for we need a lot"
912,"still, upon a flower,"
913,"god prosper long our noble king,"
914,"where the moloch of slavery sitteth on high,"
915,"leave the garden walls, where blow"
916,it's a pretty early start.
917,"he takes you from your easy-chair,"
918,accept the gift which i have wrought
919,long-drawn bill of wine and beer
920,"a crow dot sat a-squawkin', ""i's a mockin'-bird."""
921,"a day's experunce 'd prove to ye, ez easy 'z pull a trigger."
922,"euryalus stood list’ning while he spoke,"
923,"moonstruck with love, and this still thames had heard"
924,"yea, all the world it might be, and all sounds of the earth were stilled"
925,as hebe's foot bore nectar round
926,"till, fur 'z i know, there aint an inch thet i could lay my han' on,"
927,she listening sate.
928,"from alton bay to sandwich dome,"
929,even now eclipses the descending moon!--
930,"some thought of me, a last fond prayer"
931,ode read at the one hundredth anniversary of the fight at concord bridge
932,for wanderings sad and lone.
933,and my white cottage--plain.
934,"""onaway! my heart sings to thee,"
935,"begins, but endeth nevermore;"
936,"that throng our pilgrimage. its sympathy,"
937,"valentines, paper and tinsel,"
938,when lips and heart refuse to part again
939,waiting the flutter of his homemade fly;
940,"whereto we claim sole title by our toil,"
941,"our hope, our remembrance, our trust,"
942,that _she_ should walk beside him on the rocks
943,"far out, in peace, the white man's sail"
944,"of the bivouac fire apart,"
945,"such civil war is in my love and hate,"
946,none will forget it till shall fall the deadly dart!
947,that antwerp monks may sing a mass for thy poor spearmen's souls.
948,"""sir, i have dreamed of you. i pray you, sir,"
949,the message is not like what i have learned
950,the beacon-light that forth they held
951,"as george commands, let him be wrong or right,"
952,"luck obeys the downright striker; from the hollow core,"
953,"forever quivering o'er his task,"
954,"radiant as moses from the mount, he stood"
955,wilt thou our lowly beds with tears of pity lave?'
956,and seek the danger i was forc’d to shun.
957,"where your hair from your forehead swerves,"
958,"down the dark future, through long generations,"
959,but she always ran away and left
960,with such vehement force and might
961,"yet both in different colours hide their art,"
962,"his regal seat, surrounded by his friends."
963,"thinks i, the down lies dreaming"
964,vain cries--throughout the streets thousands pursued
965,"and all their echoes, mourn;"
966,"and what then doth he gather? if we know,"
967,"through the salt sea foam,"
968,does beauty slight you from her gay abodes?
969,yet was this period my time of joy:
970,"from the fair brow; she, rising, only said,"
971,"still must mine, though bleeding, beat;"
972,his silent sandals swept the mossy green;
973,"nightly down the river going,"
974,their first-born brother as a god.
975,"but half the secret told,"
976,and like the others does not slip
977,bedaubed with iridescent dirt.
978,"in town, an' not the leanest runt"
979,"so thick, she cannot see her lover hiding,"
980,and so i should be loved and mourned to-night.
981,"and _channing_, with his bland, superior look,"
982,the head that lay against your knees
983,"is shorter than a snake's delay,"
984,"sooner, augustine, sooner far, shall i"
985,in every health we drink.
986,the end of the play.
987,"by death's frequented ways,"
988,"how your soft opera-music changed, and the drum and fife were heard in their stead;"
989,rejection of his humanness
990,"to sunset they would sip of the tea, drink of the beer, and eat of the"
991,to his ears there came a murmur of far seas beneath the wind
992,"the one good man in the world who knows me, --"
993,faint voices lifted shrill with pain
994,"an', fust you knowed on, back come charles the second;"
995,in the wild glens rough shepherds will deplore
996,"to water, cloudlike on the bush afar,"
997,"shall yet be glad for him, and he shall bless"
998,"on its windy site uplifting gabled roof and palisade,"
999,(if haply the dark will of fate
1000,"jehovah, jove, or lord!"
1001,"when the brow is cold as the marble stone,"
1002,"taking and giving radiance, and the slopes"
1003,press hard the hostile towers!
1004,his head is bowed. he thinks on men and kings.
1005,"with england if the day go hard,"
1006,turn in the door once and turn once only
1007,and ever the rocks' disdain;
1008,that to the next i may resign my roome
1009,and all the honors that he sought to leave
1010,"a level space of nameless graves,--"
1011,from his lady's white hand caught;
1012,"in three distinguish’d parts, with three distinguish’d guides"
1013,"a orn'ment o' saciety, in my approprut spear:"
1014,"ef 'twarn't for studyin' evenins, why, i never 'd ha' ben here"
1015,"for ever, if that maiden sits enshrined"
1016,"to feel, with bird and stream and tree,"
1017,with ten picked archers of my train;
1018,"let fall on her a rose-leaf rain of dreams,"
1019,then ens is represented as father of the predicaments his ten
1020,and politician at odd seasons.
1021,"the dusky daughter of the sun,--"
1022,"stood and watched it at the doorway,"
1023,while brain wore a plumeless casque; not he
1024,"what though the claret circled well,"
1025,the garrison-house stood watching on the gray rocks of cape ann;
1026,alas! their right to joy is plain.
1027,did all of them bow downward towards that side
1028,the bronze against the marble breast!
1029,that in their holes abed at close of day
1030,"with his thoughts then, as rhyme to rhyme."
1031,"at last, outbound from tunis,"
1032,and sleigh-bells a-jingle
1033,"why write i still all one, ever the same,"
1034,"their very peaks transparent. 'ere it fade,'"
1035,"soon ez she gits out o' sight,"
1036,"of common, natural things a part,"
1037,alone went the fair-armed gudrun to her flowery garden-close;
1038,lift up the favour of thy count'nance bright.
1039,"breathe deep, and start, to see him pass the door."
1040,of things that only children see
1041,"and i greet from far the ray,"
1042,"all passionate-sweet, as are the loving beams"
1043,"they still keep piping in their honey dreams,"
1044,"now betimes on a morning of summer that giuki's daughter arose,"
1045,"no, truly.--i will see her; tell my tale,"
1046,which 'mongst the wanton gods a foul reproach was held.
1047,ere i own an usurper i'll couch with the fox;
1048,"nor can express the love it knew,"
1049,where its first shadow casts the holy mountain;
1050,"might, looking up, see dian dip"
1051,no controversial hebraist was the dame;
1052,"will seek the half unjeweled tide,"
1053,or dying wail!
1054,"turn'd back the shafts, and mock'd the gates of death,"
1055,"an angel had not startled him,"
1056,the quakers' burial-ground.
1057,and sate as thus upon that slope of lawn
1058,"whose voices, hushed, have left our pathway lonely,"
1059,on us lift up the light
1060,each lodger here adorns the walls:
1061,"fix’d on the walls with wonder and surprise,"
1062,i kin eat in peace.
1063,"in yonder green meadow, to memory dear,"
1064,"tell me, the charms that lovers seek"
1065,"the second signal sounds, the troop divides"
1066,"this hot, sick air! and how i covet here"
1067,abominations; and with cursed things
1068,"how the white mountain-tops distinctly shine,"
1069,willis sneered:
1070,"from the bed of minnehaha,"
1071,"then loosen, launch forth, to go and compete,"
1072,"with its chang'd countenance, is sent away"
1073,i envy the farmer's boy
1074,and ever a thrill in mine inmost heart
1075,still in hot and heavy splashes fell the tears on every leaf.
1076,strong tarchon snatch’d and bore away his prize.
1077,"under the self-same bough, and heard as there"
1078,"was borne within the walls which, in assyrian rite,"
1079,and at my door they cower and die.
1080,"weak, timid, homesick, slow to understand"
1081,"in order, though to nations yet unborn,"
1082,she of the rugged sides--
1083,"but no tidings thread the gloom,"
1084,and in some deep and narrow bay then sleeps
1085,"""who's we?--some stockholders in boston?"
1086,and tell you in what greek and latin name
1087,nor looks on that dread place
1088,"where wisdom and not numbers should have weight,"
1089,from the hushed and silent tomb.
1090,"his bark her anchor weighed,"
1091,"two mighty cities shone, and ever"
1092,"unconscious of the passing troop,--"
1093,with the freedom of lakes and lands.
1094,would he move--so as yet they made nothing of land;
1095,"shall part, yet link, thy nature's tone and mine."
1096,"said my companion, 'i will show you soon"
1097,but god said
1098,but if thou do thy best
1099,"so generous to me. farewell, friend, since friend"
1100,"let me all risk, and leave the deep heart dumb"
